x,y,z
-4968.193,-603.5423,-5605.5609
-4922.7232,-668.48,-5442.4296
-4877.5153,-733.0435,-5284.5897
-4846.132,-777.8635,-5119.1531
-4822.5212,-811.5832,-4943.4182
-4796.7177,-848.4344,-4761.7861
-4760.2387,-900.5318,-4580.6027
-4718.8653,-959.6192,-4397.9059
-4675.6771,-1021.2983,-4204.505
-4614.5199,-1108.6399,-4027.9598
-4539.7859,-1215.371,-3862.0273
-4470.3097,-1314.5934,-3671.8261
-4397.1758,-1419.0395,-3460.1736
-4298.2665,-1560.2966,-3305.4735
-4217.4362,-1675.7341,-3014.6045
-4107.2237,-1833.1339,-2798.7372
-3977.0099,-2019.0986,-2615.977
-3851.8904,-2197.7877,-2202.1987
-3689.7074,-2429.4091,-2007.9186
-3513.4795,-2681.0886,-1965.4567
-3332.7173,-2939.2438,-1899.294
-3160.2425,-3185.5632,-2052.0488
-3003.3984,-3409.5598,-2193.1746
-2902.0356,-3554.3209,-2588.4749
-2797.879,-3703.072,-2856.0623
-2717.302,-3818.1478,-3142.8648
-2628.8605,-3944.4555,-3362.6189
-2531.5666,-4083.4054,-3535.2472
-2429.2869,-4229.476,-3689.798
-2339.3866,-4357.867,-3865.7359
-2265.9665,-4462.7218,-4063.9844
-2217.749,-4531.5834,-4284.3373
-2191.5092,-4569.0578,-4521.8794
-2195.0857,-4563.9501,-4772.0366
-2008.4683,-4830.4672,-4896.1437
-1853.4601,-5051.8419,-5086.3977
-1724.7181,-5235.7046,-5279.6031
-1530.889,-5512.5212,-5504.803
-493.1411,-6994.5788,-6627.1798
-233.4285,-7365.4868,-7120.8117
-452.2154,-7053.0268,-8440.5418
-610.6212,-6826.7998,-8813.7709
-1839.5515,-5071.7055,-8576.9253
-5434.9309,63.0285,-8557.8919
-3881.1268,-3442.6794,-2935.9073
-3693.5192,-3710.611,-2851.4245
-3502.0073,-3984.1182,-2824.0807
-3375.8759,-4164.2525,-3149.8843
-3222.5588,-4383.2121,-3295.6427
-3127.7668,-4518.5891,-3613.3134
-3024.0736,-4666.6783,-3861.5833
-2929.9258,-4801.1353,-4105.1667
-2913.816,-4824.1425,-4478.1521
-2695.078,-5136.5327,-4520.0057
-2487.1004,-5433.5555,-4564.7358
-1581.982,-6726.1985,-3953.7049
-1408.8123,-6973.5106,-4241.7233
-1302.8359,-7124.8605,-4604.3939
-1084.2047,-7437.0983,-5036.9041
-1190.2251,-7285.6854,-5529.5554
-1327.3732,-7089.8176,-5987.6902
-924.7173,-7664.8699,-6295.1838
-34.4394,-8936.3184,-8074.6236
-90.2953,-8856.548,-8596.0368
-321.5658,-8526.2595,-9030.7239
-2280.3276,-5728.8576,-9174.4541
-2577.6489,-5304.2389,-9156.9522
-5735.4808,-794.3875,-9006.8113
-5885.8646,-579.6172,-8892.1763
-6076.3202,-307.6184,-8220.5889
-6149.1765,-203.5689,-7998.0176
-6298.7898,10.1011,-7744.8185
-5678.5902,-875.6357,-6770.4178
-5644.833,-923.8461,-6593.6168
-5605.6046,-979.87,-6423.3071
-5561.5115,-1042.8414,-6259.1621
-5517.0201,-1106.3817,-6097.8056
-5478.5946,-1161.2591,-5932.1344
-5440.752,-1215.3039,-5762.7978
-5403.8265,-1268.0389,-5585.7254
-5363.0838,-1326.2256,-5404.5182
-5330.112,-1373.3141,-5197.3634
-5289.1348,-1431.8356,-4979.287
-5228.6695,-1518.189,-4782.9427
-5149.4261,-1631.3603,-4612.6685
-5067.6874,-1748.0953,-4430.2532
-4966.0802,-1893.2055,-4283.2906
-4861.3708,-2042.7459,-4135.7776
-4748.9254,-2203.3346,-3997.9503
-4634.7011,-2366.4638,-3819.1015
-4512.1239,-2541.5222,-3600.9183
-4375.165,-2737.1198,-3369.8461
-4221.7218,-2956.2594,-3107.9536
-4049.69,-3201.9463,-2987.2212
-3881.1268,-3442.6794,-2935.9073
-4503.8835,-3860.9534,-3869.2942
-4818.8193,-3411.1785,-4378.1807
-5080.081,-3038.0582,-4558.408
-5308.5097,-2711.8281,-4848.2235
-5476.1261,-2472.447,-5282.3871
-5567.7482,-2341.5971,-5800.0443
-5646.9586,-2228.473,-6183.1309
-5739.2797,-2096.6247,-6454.9176
-5873.5227,-1904.9059,-6637.6988
-6039.6732,-1667.6184,-6802.0897
-6220.8299,-1408.8998,-6999.9484
-6410.9679,-1137.3546,-7244.4624
-6668.0855,-770.1527,-7528.4472
-6704.9476,-717.5081,-7935.9838
-6505.0731,-1002.9585,-8327.7111
